"품목별(1)","품목별(2)",품목별(3),시점,수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)","섬유 및 그 웨이스트",달리명시되지 않은 황마와 기타의 방직용 인피섬유,2025.10,-,102
"비식용원재료(연료제외)","섬유 및 그 웨이스트",달리명시되지 않은 황마와 기타의 방직용 인피섬유,2025.11,3,74
"비식용원재료(연료제외)","섬유 및 그 웨이스트",식물성 섬유 : 동섬유의 부스러기,2025.09,0,136
"비식용원재료(연료제외)","섬유 및 그 웨이스트",식물성 섬유 : 동섬유의 부스러기,2025.10,5,114
"비식용원재료(연료제외)","섬유 및 그 웨이스트",식물성 섬유 : 동섬유의 부스러기,2025.11,0,5
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 합성섬유,2025.09,74607,4020
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 합성섬유,2025.10,62764,4288
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 합성섬유,2025.11,66969,4345
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 기타 인공섬유,2025.09,11036,11313
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 기타 인공섬유,2025.10,6092,7874
"비식용원재료(연료제외)","섬유 및 그 웨이스트",방적에 적합한 기타 인공섬유,2025.11,7044,9219
"비식용원재료(연료제외)","섬유 및 그 웨이스트",양모 및 기타 수모(양모톱 제외),2025.09,2,5156
"비식용원재료(연료제외)","섬유 및 그 웨이스트",양모 및 기타 수모(양모톱 제외),2025.10,3,4020
"비식용원재료(연료제외)","섬유 및 그 웨이스트",양모 및 기타 수모(양모톱 제외),2025.11,54,4923
"비식용원재료(연료제외)","섬유 및 그 웨이스트",낡은 의류 및 기타 낡은 섬유제품 : 넝마,2025.09,29456,3796
"비식용원재료(연료제외)","섬유 및 그 웨이스트",낡은 의류 및 기타 낡은 섬유제품 : 넝마,2025.10,23522,2426
"비식용원재료(연료제외)","섬유 및 그 웨이스트",낡은 의류 및 기타 낡은 섬유제품 : 넝마,2025.11,25641,2437
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",소계,2025.09,41060,97220
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",소계,2025.10,40700,75526
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",소계,2025.11,38368,71386
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",미가공비료(56항의 것 제외),2025.09,2817,10357
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",미가공비료(56항의 것 제외),2025.10,2345,380
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",미가공비료(56항의 것 제외),2025.11,2133,597
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",돌모래 및 자갈,2025.09,958,8064
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",돌모래 및 자갈,2025.10,857,12817
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",돌모래 및 자갈,2025.11,988,10448
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",유황 및 하소하지 않은 황하철광,2025.09,28908,74
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",유황 및 하소하지 않은 황하철광,2025.10,30243,174
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",유황 및 하소하지 않은 황하철광,2025.11,26680,405
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함),2025.09,1768,5721
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함),2025.10,1821,14216
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함),2025.11,2290,11793
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",기타 미가공 광물,2025.09,6610,73005
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",기타 미가공 광물,2025.10,5434,47938
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물",기타 미가공 광물,2025.11,6277,48144
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",소계,2025.09,202034,2579492
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",소계,2025.10,171938,2625988
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",소계,2025.11,251240,2382641
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",철광석 및 정광,2025.09,1135,567250
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",철광석 및 정광,2025.10,652,709892
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",철광석 및 정광,2025.11,1731,571292
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳,2025.09,22577,103262
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기",철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳,2025.10,15012,80829
